"","TM1A_Left","TM1A_Right","TM1C_Left","TM1C_Right","TM1D_Left","TM1D_Right","TM1E_Left","TM1E_Right","TM1F_Left","TM1F_Right","TM1G_Left","TM1G_Right","TM1H_Left","TM1H_Right","TM1I_Left","TM1I_Right","TM1J_Left","TM1J_Right","TM1K_Left","TM1K_Right","TM1L_Left","TM1L_Right","TM2A_Left","TM2A_Right","TM2B_Left","TM2B_Right","TM2C_Left","TM2C_Right","TM2D_Left","TM2D_Right","TM2E_Left","TM2E_Right","TM2F_Left","TM2F_Right","TM2G_Left","TM2G_Right","TM2H_Left","TM2H_Right","TM2I_Left","TM2I_Right","TM2J_Left","TM2J_Right","TM2K_Left","TM2K_Right","TM3A_Left","TM3A_Right","TM3B_Left","TM3B_Right","TM3C_Left","TM3C_Right","TM3D_Left","TM3D_Right","TM3E_Left","TM3E_Right","TM3F_Left","TM3F_Right","TM3G_Left","TM3G_Right","TM3H_Left","TM3H_Right","TM3I_Left","TM3I_Right","TM3J_Left","TM3J_Right","TM3K_Left","TM3K_Right","TM4A_Left","TM4A_Right","TM4B_Left","TM4B_Right","TM4C_Left","TM4C_Right","TM4D_Left","TM4D_Right","TM4E_Left","TM4E_Right","TM4F_Left","TM4F_Right","TM4G_Left","TM4G_Right","TM4H_Left","TM4H_Right","TM4I_Left","TM4I_Right","TM4J_Left","TM4J_Right","TM4K_Left","TM4K_Right","TM5A_Left","TM5A_Right","TM5B_Left","TM5B_Right","TM5C_Left","TM5C_Right","TM5D_Left","TM5D_Right","TM5E_Left","TM5E_Right","TM5F_Left","TM5F_Right","TM5G_Left","TM5G_Right","TM5H_Left","TM5H_Right","TM5I_Left","TM5I_Right","TM5J_Left","TM5J_Right","TM6A_Left","TM6A_Right","TM6B_Left","TM6B_Right","TM6C_Left","TM6C_Right","TM6D_Left","TM6D_Right","TM6F_Left","TM6F_Right","TM6G_Left","TM6G_Right","TM6H_Left","TM6H_Right","TM6I_Left","TM6I_Right","TM6J_Left","TM6J_Right","TM6K_Left","TM6K_Right","TM6L_Left","TM6L_Right"
"FRP",0,0,0.00403593793308973,0,0,0.00239834139229322,0,0,0.00211329648322184,0,0,0,0,0,0,0,0,0.00102774811137377,0,0.00478034199696667,0.00036598750026755,0,0,0.00031750045678636,0,0,0,0,0,0,0,0,0,0,0.00059211550134864,0.00025882714822761,0,0.00144722328608121,0,0.00100678409146045,0,0,0,0.00092049404068743,0,0,0,0.00134444978109991,0,0,0,0,0,0,0,0.00287267564955833,0,0,0,0,0,0,0,0,0,0.00179266140361543,0,0,0,0.00016573726610595,0,0.00021984509900956,0,0,0,0,0,0,0,0,0,0.0003677692794387,0,0,0,0,0,0,0.0006038043894401,0.00127128466164653,0,0,0,0.0015919568389178,0,0,0.00034824337250022,0.00042586905034871,0.00052694368273974,0.0114419735429798,0,0.00321673664798224,0,0.00151282199210351,0.0008037949272807,0.00034052902200898,0,0,0,0.00035620818009578,0,0,0,0.00115865447001577,0,0.00534240917750457,0,0,0.00187427519790355,0.00016267731798911,0.00059587732245542,0.00018451991316148,0.00032325020314561,0.00179377853082422,0,0.00094126034380838,0,0,0,0
"MOp",0,0.0009078484510946,0.00045031619836468,0.0001145608415907,9.37145053767714e-05,0.00213462210273115,0.00061484042349882,0.00097091823537364,8.2277960986293e-05,0.00147624768012955,8.29250363579813e-05,0.00017742049733978,8.42322576511607e-05,8.46333636470776e-05,0.00020421558973746,0.00271372751494564,0.00031796423423917,0.00371650681849432,0.00621861483393018,0.00713758154701351,0.00024164613706375,0.00377570516502037,9.3768255235087e-05,0.00215502951606997,0,0,0.00024221573899413,0.00311718577630024,0,0.00038533796921393,0.00021036343007413,0,0.0139752100690422,0.00260865092756357,0.0007421041480216,0.00585963784899875,0.00124996133714701,0.0128991779705815,0.00827640161440402,0.00186345015374804,0.00188413619395109,0.00480917411370811,0.00110627077925855,0.00110932743898235,0.00026002112651154,0.00042584462808834,0.00381282967392156,0.00081579684305392,0.00204097766881438,0.00439929002732251,0.00112926707892638,0.00039928106422106,0,0.00117977366977491,0.00104050440507017,0.00208560622187511,8.49674514396333e-05,0.00060785235131496,0.00176715648156614,0.00121192549797967,0.00532879806492631,9.36029120720523e-05,0.00046457328753348,0.00087134524170881,0.00010476569647518,0.00051891912432318,0.00104346261615246,0.00010047124086514,0.00115585726552632,0.00033559320237069,0.00085418828124533,0.00052250301657408,0.00087177124587798,0.00054845002404827,8.72191939943889e-05,0,0,0.00125861607320688,0,0.00098828892071941,0.00010102133835739,0.00024422435536311,0,0.00018905151392345,0,0.00092798460181951,0.00088309831804799,0.00024323457106504,0,0.00146409813708696,0.00012870236274127,0.00105590385627813,0.00337161039793073,0.00743811006968845,0.00010315169107503,0.00134739455968294,0.00037959907374249,0.00331155405844763,0.00201349523388172,0.00627114475904618,0.00387536360030367,0.00037092224722745,0,0.00033597002122268,0,0.00395708242066073,0.00117979649200716,0.00162999861881045,0.00094055844722506,0.00123599496047477,0.00071771744135736,0.00071771744135736,0.00067006758493625,0.00086645331783551,9.56297272971884e-05,9.86240044709669e-05,0.0009441615996724,0.00487416462899874,0.00012622155240139,0.00212269337589649,0.0013290866975939,0.00136457743462344,0,0,8.26893457929884e-05,0.00122287060680993,0,0.00044617473711057,0.00057874260496977,0.00057874260496977
"MOs",0.00018193301796434,0.00194917042410382,0.00024100206675553,0,0.00070121040920817,0.00373596625003314,0.00022771958493636,0.00205541154847746,0.0003651767199472,0.00332089991075357,0,0.0003019985538902,0,0.00273509842137629,0.00209083535338386,0.00291610933844369,0.00209416534700671,0.0191523700332926,0.00214126371060567,0.031891603429369,0.00357429229263655,0.0157115120358211,0.00032857178143389,0.00670605714045515,0.00013527207933739,0.00022663305089045,0.00030501241197987,0.00355446503881045,0.00014993517932026,0.00040064259080261,0.00042663293449244,0.00494478838736228,0.00213027600649253,0.00884732733094575,7.53118604080461e-05,0.00525447303324445,0.00081783819194655,0.00838035500341316,0.00384149007481251,0.0127949237169725,0.0132136191253223,0.00357817407464229,0,0.00046247906268148,0,0.0005146374147467,0,0.00051283241122771,0,0.0036025219312829,0.00258270356094181,0.00096086088062191,0.00026418232700636,0.00139282288577156,0.0017270619597649,0.00208869960088711,0.00020249544109896,0.00104241016413892,0.00053858979911393,0.00113688977786109,0.0004049989665009,0.00011088487056953,0.00029377329149763,0.00038382990519981,0.0004696292071581,0.00145909496564269,0.00020995846098092,0.00123608792666121,0,7.36738537412182e-05,0.00017666639910622,0.00024942393077165,0.00025074482290192,0.0006812034262834,0.00022674871015945,0,0,0.00251845501743678,7.35613539684034e-05,0.00185347498575214,0,0.00209850860905338,0,0.00060723973560016,0.00065761007912458,0.00814294316483675,0,0.00156805270834253,0.00018851340675645,0.00123655936958384,0.0002500503047797,0.00076627663770516,0.00111672477727944,0.0105917761770281,0.00140558864660048,0.00471112989474745,0.00317056541197076,0.00123944062831852,0.00080613758116619,0.018503676110876,0.0133416253122307,0.00442099922970438,0.00023951929732766,0.00149703440509609,0.00037843141310103,0.00209788132437253,0,0.0062773578835912,0.00202253896744775,0.00028902506702563,0.00013357554777976,4.18009574665253e-05,0.00083844576051072,0.0016117504673546,0.00125459773639973,0.00344138241765029,0.0202329805872326,0.00246161422905571,0.00011597533229262,0.0016916025875499,0.00187251763654094,0.00787278533728769,0.00021676647594766,0.00675619566298532,0.00031272514384985,0.00182714994454398,0,0.000143185532236,0,0.00016805512121386
"SSpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSPbfd",0.00490612376912741,0.175954260140738,0.00040205034342197,0.00071864452413213,0.00191227883847493,0.211769317003313,0.00592595890091111,0.139901664848442,0.0187306231752107,0.130157011573162,0.00988034216870194,0.0519917391645749,0.00186769950943747,0.00181103010222798,0.0145708141398533,0.221175162564045,0.0202179041479148,0.194112516394732,0.0171367482994961,0.261298806009798,0.0142208325268301,0.220422468034741,0.00031300902829616,0.00141123793702737,0.00086136312670267,0.00163809599833533,0.018171506613488,0.0864098155281159,0.00126195953850176,0.0464483814503143,0.00614561243339096,0.0275082711704683,0.0128227242214424,0.109564758130603,0.00561963672937438,0.0800183926009743,0.00961311521700712,0.125710214545532,0.0337515552549922,0.213456587773363,0.0193456953705639,0.255204647029508,0.00029939603527541,0.00014212986708851,0.00208582444294446,0.0556140568259416,0.00152878114444007,0.00824337616816725,0.006187052963895,0.0274087609851098,0.00579667255030904,0.0132007433728032,0.0006196232933231,0.0122123616595054,0.00199001922175936,0.211022321403117,0.0151400607618044,0.197475782861562,0.0059414229489696,0.00206121207046582,0.00118160329387289,0.00028445691938759,0.00158318481190421,0.00974466247877599,0.00045320429687137,0.0389897595633163,0.00222680081360465,0.00291307722861193,0.00407260874962303,0.0513870290587233,0.00130767686999674,0.373036833805128,0.00952465477807096,0.262480088527486,0.00087889788131771,0.00078182607170208,0.00014013682340327,0.00167491301621357,0.00493214293034264,0.0775123000063419,0.00828172082269452,0.135051470913877,0.00317131798381456,0.099743030925085,0.0106506549968773,0.0840819758553344,0.00227204364151594,0.0138166742006467,0.00358456661111507,0.014584503455201,0.00225167382240002,0.0026195815106244,0.126571893181871,0.219945352928791,0.352668211843417,1.03682268864828,0.0870709578620892,0.296067517893268,0.147939336512783,0.326536371382548,0.00634223168831854,0.00711248673333809,0.01782967089596,0.0245323117116976,0.161809529257692,0.241514176755111,0.00047808066436263,0.00289200838984981,0.010016853232933,0.223915515145922,0.00094072015682773,0.169285494209495,0.00627277884679601,0.278080318658219,0.0196269944192328,0.209025552226194,0.0192136131722106,0.52949050171828,0.0298358155554309,0.373812660374818,0.0853314299749427,0.357160887623535,0.00045726060140757,0.00062579758033266,0.0149657915016469,0.0862026427406334,0.0047249539810578,0.109140046801653,0.0018124236413987,0.00103607418243023
"SSpll",0,0.168973421495621,0,0.00613614958942983,0.0283079538506327,1.17095197121767,0.00674516019811228,0.694836860102095,0,1.29841118786772,0.00358370597271368,0.474701037327752,0.00109885310431283,0.0137817778693975,0.00590862031132177,0.67252928922293,0.00216203292927491,1.91956172783904,0.00877862724589201,0.272300827303174,0.0457903461492204,0.628328296673481,0,0.00430747276675037,0.00494261646207859,0.0281252554644075,0.00084645725483413,0.595051015834261,0.00655027472486211,0.0563037118606397,0.00087064921747565,0.472915967285272,0.0231517790366982,0.427956739541448,0.0321787736359276,0.353358610311746,0.0282088641790187,0.586204575383672,0.0456932937829245,0.72851234193529,0.0652725504693736,1.33976123014345,0,0.00971294827747186,0.00529140948707134,0.12556172646524,0.017016158789793,0,0.00814517161064054,0.138514784319984,0,0.0453591767859125,0,0.114069317966294,0.0167549131987798,0.166994361516182,0.012742300297603,0.315026897208268,0,0.0135239421500647,0,0,0.00105547641261241,0.0898942827714109,0.00209245388267364,0.0675609377401134,0.00192238389066792,0.0352645932720409,0.0204245972654161,0.497307613199111,0.00983414510822305,0.179462051811977,0,0.361645658002453,0,0.28082380602699,0.00128925877516141,0.0542426038754741,0,0.170891491816909,0.0010072004966702,1.13052073113022,0.00286374683588236,0.400487937790371,0.00212447928421737,0.337138943499441,0.00304803633609109,0.147142491121837,0.699379858242917,1.17250409768652,0.146166545415548,0.158244090015377,0.456431298975012,0.792151759165603,0.640725384041904,1.21474390837614,0.938775590886522,2.77384164086991,0.22971044168874,0.361154650459495,0.703411790838665,1.09096274996051,0.353591522690667,0.494072804805111,0.718810423599197,1.22934491536903,0.007936309804239,0.0114690656600633,0,0.407889924440626,0.0174211234568406,1.9593786862956,0.00697714230090046,0.993492553079975,0.0179562602053259,0.706815759934302,0.00824106504693181,0.428062797956526,0.0100666648943307,0.700510752007663,0.0552530479139206,1.82659809576664,0.029017511168425,0.0120271760138358,0.013163277521112,0.401207166325607,0.00500967929114889,1.44697339809764,0.00466004144165623,0
"SSpm",0,0.00061265025716445,0,0,0.00013531116370261,0.00079493954607502,0.00030831964837697,0.00398863533235131,0.00015878584626233,0.00020239024124798,0.00016504004668706,7.854133398713e-05,8.11108359120575e-05,6.82299259743864e-05,0.00021666277624737,0.00035871748013857,0.00011062315039051,0,0.00112163964835712,0.00495210598782865,0,0.0044842121760759,0.00029344960860538,0.00039236372134153,0.00050751791593154,0,0,0.0002369393583313,9.51195922903646e-05,0.00012293233856509,9.28621298789385e-05,0.00028466730550538,0.00187867000579174,0.00190475927043407,0.0009228153353958,0.00332587064088091,0.00048151179517093,0.00354806216514987,0.00187100558812371,0.00052998918575771,0.00093731327311097,0.00161151723555144,0.00206491291390156,0.00011123933191171,0.00135408176056402,0.00115992209322151,0.00132314465501321,0.0017292381788938,0.00260765183176333,0.00258960112651658,0.00084813853378809,0.00284637918957038,0.00123742835185034,0.00037825955489404,0.00036420816488078,0,0.00013340363633632,0.00019739989267556,0.00082517047993704,0.00424890878967113,0,0,0.00021150448919003,7.63656620182864e-05,0.00042610793511604,0.00168831520285583,0,0.00017216637182821,0.00380193131081294,0,0.00242383175097438,0.0002968213765819,0.00076952216627177,0.00039026199654725,0,0.00030309755088727,0.0001091030020148,0.00074266104316958,0.00066918887772714,0.00017703811112894,0.00111315398955023,0.00034457758798606,0.00241575370402927,0.00047445113409075,7.48914385525629e-05,0.00121556107549718,0.00012532264876029,0.00216034718045165,0,0.0019178335477493,0.00076972626746348,0,0.0067800567723414,0.00271152301005324,0.00024840991910994,0.00089459902784681,0.00048924019890246,0.00128151657979111,0.00021304815486982,0.00446302047507922,8.48608527933015e-05,0.00218713642067232,0,0.00164146900096724,0,0.00083616743320001,6.76521669691132e-05,0.0003683285424684,7.11475809066434e-05,0.00013811043210347,0.00010822723322689,0.00010822723322689,0.00383206788248173,0.00431724097467689,0.0013186722468246,0.00388792435725931,0.00015402346428474,0.00639026045790216,0.00053862038138487,0.00053862038138487,0.00012774823135134,0.00018144098511481,0,0.00013913860404254,0.0001101266020917,0,0.00013194369292264,0.00103555160399198,0.00019826055400834,0.00115327258808631
"SSpul",0.0004373808511738,0.161808143660159,0,0.00048998914176403,0.0055247578885237,1.19713058354069,0.00812693242911222,0.104708539503985,0.0106985727334218,0.306722497557802,0.00548702391574242,0.291257986867751,0.00034151255504656,0.00260963124024375,0.00194615826210107,0.138911939219705,0.0107081012352959,0.846049060153757,0.00081080376609567,0.0635995745604374,0.0335935871539232,0.288417136425156,0.00015234963330542,0.0112368854688085,0,0.0353878486643146,0.0142297657276321,0.533105130468839,0.00023042930737271,0.0660876479880718,0.00050422490665527,0.218956983766753,0.0161878766121773,0.378131032684309,0.0303287431650969,0.133253889143699,0.022632067398942,0.214568777335162,0.0116875630733203,0.935247879613234,0.0147713984566281,0.678568294440629,0.00018738530316591,0,0.00063508571397021,0.0297341194018206,0.00315448252053287,0.00065978032882366,0.00065756674851382,0.00880247808174991,0,0.0157580111217251,0,0.136184441655567,0.00098085356992433,0.0454293068068602,0.00662464465546352,0.0586378640004902,0.00100510224088733,0.000178641218631,0,0,0,0.0186957016641952,0,0.029637875641644,0,0.0286303306040347,0,0.418804079121596,0.0002001507442395,0.870440920647853,0.00057153422421588,0.461504838741052,0,0,0.0115036658798499,0.00878586498225081,0.00059686385886322,0.365470243639904,0.00077060577319635,0.514004429476219,0.00129147813064449,0.0901523082279755,0.00283681750771352,0.0800598332173027,0.00035133882476426,0.0409221749552178,0.285039541053996,0.772921238016886,0.018386554911822,0.0331271311466994,0.208699440822091,0.451976019869546,0.214515357583593,0.462444562608275,0.162242498603786,0.453172242081431,0.0614486246570216,0.0864887160607019,0.0596523378651122,0.198018747879231,0.0660148412201015,0.0680363625976479,0.516925319783069,0.658344706031176,0.00319797464599162,0.00609755005789946,0.00830427173097429,0.204456594578968,0,0.849448351034378,0.00133362210738646,0.428779974061392,0.028792175141496,0.341176382879575,0.0186587976214693,0.105979866497295,0.00838192781021845,0.19330826210273,0.00741396836040833,0.659150606715403,0.00217371916615936,0.00716387591753128,0.00084054838771958,0.121544926406034,0.00040578302239478,0.490574291448356,0,0.00096357044314557
"SSptr",0.00065906703591781,0.154469601352314,0.00169130486282509,0.0012002564558263,0.0348120583921465,0.722003168177077,0.0164578192485014,0.157977040439519,0.0152758992348292,0.342791069415842,0.0161808064096291,0.151961329802439,0.00036111503213898,0.00801076349769172,0.012859964380249,0.221101934777729,0.0316680096299837,0.755850171535465,0.00747561240612489,0.106923311532479,0.0421058018444493,0.388778115438191,0.00051741414629048,0.00213902392913192,0.00167904823134765,0.0022127163099893,0.0330268731849042,0.349935440884631,0.00211698878829483,0.0390628110782008,0.0060457091416435,0.124400785803622,0.0322724659533716,0.18101275709009,0.0164573669413317,0.12743946359071,0.0290208560506218,0.233947405030999,0.0711680092738837,0.397158564476628,0.0476336699829363,0.360949035505548,0.0001805158214337,0.00084187999385771,0.00155848096818106,0.0656756351353819,0.0166098053497564,0.00324458936906893,0.00265836956133748,0.0819720888846301,0.00146401630664937,0.0612367757751592,0.00076728417000565,0.0865107549457948,0.00546862753672202,0.0885143813642999,0.00594923744077905,0.193103408729591,0.00273967239352415,0.00261706133243161,0.00071697984851036,0,0.0008369416484811,0.0334583983478053,0.00326369915590076,0.0481896165494552,0.00063088543505356,0.0128527143558878,0.00467213466454248,0.117538673712739,0.00087440856349555,0.0700178626592928,0.0180346397532215,0.156388209220095,0.00015595302864377,0.0343042837589668,0.0059262108549855,0.00880254717268933,0.00106736749768498,0.0834712436767917,0.00117446044231019,0.253149599250451,0.0127462427635771,0.0817440944986735,0.0123795843789863,0.10747540005111,0.00096077462546884,0.0582663762401097,0.125559216413991,0.211537438621979,0.00666094856929393,0.010710709365154,0.216106460136483,0.327545892360149,0.117634856866196,0.291112063946132,0.408566262359062,0.876796175714481,0.0905637015052796,0.150679281313567,0.129642041765344,0.260319625082316,0.0497497262546632,0.0541290499833465,0.295791390774365,0.578375283496428,0.00865057836842536,0.0141610849669152,0.0226266962410451,0.134633357562659,0.00068485989023676,0.189413882163603,0.0282489395554706,0.363311387683019,0.0323251743944647,0.393127148137733,0.0181304487363506,0.171952092577768,0.0375919350334659,0.440769993063056,0.0679131341769279,0.94310625716287,0.0232515257754324,0.0499530501767687,0.00569048243377064,0.163963376390149,0.00426537522427553,0.288910489918524,0,0.00118572161848111
"SSpun",0,0.546733957563087,0,0,0.0135639394901441,0.419455495147161,0.00074122639553399,0.137805764952077,0.00248901468890239,0.6730269793377,0.0234460432854663,0.327975930683395,0,0.00494023212802291,0.00188762791285541,0.426792714446874,0.0603474486933575,0.75088624777773,0.00071692122520505,0.0898878530617013,0.0139508945850872,0.739826396135492,0,0.0010255887540964,0,0.124803433101591,0.00880605346413932,0.193119195025149,0,0.0662201209285488,0.00182250317157803,0.124619066631857,0.0327649534261784,0.762553233780144,0.0286879722727705,0.31032414206506,0.0154185216610076,0.222290934563764,0.0202911976104647,0.772629293846891,0.00914737464813809,0.466071312151071,0,0,0,0.0531685586685056,0,0.00403481047206348,0,0.0387937646375269,0,0.025552760946835,0.00282256595490502,0.0738995979942717,0.00178683967878312,0.118744131394218,0.0221643451301376,0.491735845307799,0,0.00086659433892203,0,0.00291194883330138,0,0.0399701825927166,0,0.00295965711747887,0,0.00766597067680929,0.00507744254828346,0.40003811359711,0,0.711206370517411,0.00476278519947715,1.07095080252081,0,0,0.00106295271351143,0.0146861606331011,0.0017747436521596,0.302378874673624,0.00436417472102675,0.660056389927684,0,0.107647389935644,0.00298851229855756,0.147495253224048,0,0.0916145333362067,0.0424865053908137,0.223412075863833,0,0.00376280553808907,0.171852092116899,0.364398614921962,0.716400095470982,0.822267436885221,0.24011789077182,0.74930993484636,0.105920910520943,0.35633072717548,0.00522401071683853,0.00603257920584968,0.0319900205323642,0.0705007634330867,0.354803177672891,1.00779673795384,0.00242972597559472,0.00394291191487797,0.00758333204051704,0.681196863306651,0,0.781398478565778,0.029666357782135,0.1626839921197,0.0222777999258031,0.297732518706418,0.00219530763699482,0.186447303767012,0.0110895353782634,0.190130573269547,0.0223793216724189,0.73705370427313,0,0.00547089250920526,0.00337894687670691,0.176732886376953,0.00134453479083936,0.333114856841463,0.00081134650113463,0.0089654523096176
