"names","ids"
"FRP",184
"MOp",985
"MOs",993
"SSs",378
"GU",1057
"VISC",677
"AUDd",1011
"AUDp",1002
"AUDpo",1027
"AUDv",1018
"VISal",402
"VISam",394
"VISl",409
"VISp",385
"VISpl",425
"VISpm",533
"VISli",312782574
"VISpor",312782628
"ACAd",39
"ACAv",48
"PL",972
"ORBl",723
"ORBm",731
"ORBvl",746
"AId",104
"AIp",111
"AIv",119
"RSPagl",894
"RSPd",879
"RSPv",886
"VISa",312782546
"VISrl",417
"TEa",541
"PERI",922
"ECT",895
"OLF",698
"MOB",507
"AOB",151
"AON",159
"PIR",961
"COAp",647
"PAA",788
"TR",566
"HPF",1089
"CA1",382
"CA2",423
"CA3",463
"DG",726
"FC",982
"IG",19
"ENTl",918
"ENTm",926
"PAR",843
"POST",1037
"PRE",1084
"SUB",502
"ProS",484682470
"HATA",589508447
"APr",484682508
"CLA",583
"EPd",952
"EPv",966
"LA",131
"BLAa",303
"BLAp",311
"BLAv",451
"BMAa",327
"BMAp",334
"PA",780
"STR",477
"CP",672
"ACB",56
"OT",754
"LS",242
"SH",333
"CEAc",544
"CEAl",551
"CEAm",559
"IA",1105
"MEA",403
"PAL",803
"GPe",1022
"GPi",1031
"SI",342
"MS",564
"NDB",596
"TH",549
"VAL",629
"VM",685
"VPL",718
"VPM",733
"PoT",563807435
"SPFp",422
"PP",1044
"MGd",1072
"MGv",1079
"MGm",1088
"LGd",170
"LP",218
"PO",1020
"POL",1029
"SGN",325
"Eth",560581551
"LD",155
"IMD",59
"MD",362
"SMT",366
"PR",1077
"PVT",149
"RE",181
"Xi",560581559
"RH",189
"CM",599
"PCN",907
"CL",575
"PIL",560581563
"RT",262
"IGL",27
"IntG",563807439
"LGv",178
"SubG",321
"MH",483
"LH",186
"HY",1097
"PVi",118
"ARH",223
"AVPV",272
"PVp",126
"AHN",88
"LM",210
"MMme",732
"MMl",606826647
"MMm",606826651
"MMp",606826655
"MMd",606826659
"SUM",525
"PMd",980
"PMv",1004
"PVHd",63
"VMH",693
"PH",946
"LHA",194
"LPO",226
"PeF",576073704
"TU",614
"ZI",797
"FF",804
"ME",10671
"MB",313
"SCop",851
"SCsg",842
"SCzo",834
"ICe",828
"NB",580
"SAG",271
"PBG",874
"SCO",599626923
"SNr",381
"VTA",749
"PN",607344830
"RR",246
"MRN",128
"SCdg",26
"SCdw",42
"SCiw",17
"SCig",10
"PAG",795
"PRC",50
"INC",67
"ND",587
"Su3",614454277
"APN",215
"MPT",531
"NOT",628
"NPC",634
"OP",706
"PPT",1061
"RPF",549009203
"RN",214
"III",35
"MA3",549009211
"IV",115
"Pa4",606826663
"AT",231
"LT",66
"DT",75
"MT",58
"SNc",374
"PPN",1052
"IF",12
"IPR",607344834
"IPC",607344838
"IPA",607344842
"IPL",607344846
"IPI",607344850
"IPDM",607344854
"IPDL",607344858
"IPRL",607344862
"RL",197
"CLI",591
"DR",872
"P",771
"NLL",612
"PSV",7
"POR",122
"PG",931
"TRN",574
"PC5",549009223
"CS",679
"PRNr",146
"MY",354
"NTB",642
"CB",512
